CourseID,Subject,CourseNumber,Title,Credits,Description
CDA4322,CDA ,4322,Principles of Secure Hardware Design ,3,"This course introduces the fundamentals of hardware security for integrated circuits, intellectual property, and reconfigurable devices, including hardware security primitives, Trojans, physical and side-channel attacks, and emerging countermeasures."
CDA4323,CDA ,4323,Practical Hardware Security,3,"This course introduces practical aspects of hardware security for integrated circuits and reconfigurable hardware, with hands-on assignments introducing physical, side channel, and system-level attacks and countermeasures."
CDA4621,CDA ,4621,Control of Mobile Robots,3,"Mobile Robotic Control Systems design and implementation. Includes microcontroller, sensor, and actuator control processes for localization and navigation. Team project development of software interface for robot control."
CDA5416,CDA ,5416,Computer System Verification,3,"This course introduces basic concepts of formal verification. Topics include formal specification, algorithms, and methodologies for scalable verification. It is only for CSE majors or non-majors with permission from the instructor, not repeatable."
CDA6328,CDA ,6328,CDA 6328 Cryptographic Hardware and Embedded Systems,3,Efficient hardware implementation of cryptographic algorithms is presented to meet the performance and cost requirements of computing platforms from handheld to server-level computers. Cryptographic implementation attacks and countermeasures are covered.
CDA6626,CDA ,6626,,,
CEN3722,CEN ,3722,Human Computer Interfaces for Information Technology,3,"The basics of HCI in terms of psychology, computers, and their integration into design and practice are discussed. A life-cycle development framework is presented where user needs, functionality, interaction, and usability are taken into account."
CEN4020,CEN ,4020,Software Engineering,3,An overview of software engineering techniques for producing high quality software. Student will participate in a software development team.
CEN4072,CEN ,4072,Software Testing,3,The course provides the fundamental principles and tools for testing and validating large-scale software systems. The course is open to majors as well as non-majors.
CEN6084,CEN ,6084,Advances in Object Oriented Programming for IT,3,"This course will explore advanced object oriented principles. Topics will include meta-object protocols, reflexive languages, meta classes and class/object hierarchies’ structures and bootstrapping."
CGS1540,CGS ,1540,Introduction to Databases,3,"An introduction to databases, their uses, design, and implementation with IT applications. Query languages, data organization, and modeling are covered. The course emphasizes standard practices for managing information."
CGS2060,CGS ,2060,Introduction to Computers and Computer Programming,3,Introduction to computer programming using a modern high-level language and the application of computational methods to problem solving. Overview of computer systems and their application and role in society. This course affords students a mastery of foundational mathematical and computation models and methods by applying such models and methods in problem solving.
CGS3303,CGS ,3303,IT Concepts,3,"Elements of computers are discussed. Core areas of IT are introduced: human computer interaction, information management, networking, system administration and maintenance, system integration and architecture, and web systems and technologies."
CGS3853,CGS ,3853,Web Systems for IT,3,"Examines how web sites are developed. Focus on client-side and server-side scripting including HTML, JavaScript, and CSS. A substantial project requiring the design and implementation of an online web site is required."
CIS1930,CIS ,1930,Freshman Seminar for Computing ,0,"This seminar is a “first-year experience” designed to help new students in the College of Artificial Intelligence, Cybersecurity, and Computing understand their degree options, requirements, and academic resources."
CIS3213,CIS ,3213,Foundations of Cybersecurity,3,"The fundamentals of cyber security are introduced. Students learn to identify attack phases, understand the adversary’s motivations, the resources and techniques they use, and the intended end-game. Techniques for mitigating threats are described."
CIS3363,CIS ,3363,Information Technology Systems Security,3,"This course covers foundations of systems security, including availability, authentication, access control, network penetration/defense, reverse engineering, cyber physical systems, forensics, supply chain management security, and secure systems design."
CIS3433,CIS ,3433,System Integration and Architecture for IT,3,"Role of systems architecture in systems integration, performance, and effectiveness. Principles and concepts of “devops” (development operations) interplay between IT applications roll-out and related organizational processes."
CIS4083,CIS ,4083,Cloud Computing for IT,3,"This is a hand-on class in the methods and technologies of cloud computing. Upon completion of this course students will be able to create, configure, build, deploy, and manage a variety of cloud based solutions."
CIS4200,CIS ,4200,Penetration Testing,3,"Penetration testing and related software tools are presented. Legalities and various cyber-attacks such distributed denial of service, man-in-the-middle, and password attacks are covered. Methods to correct security flaws are given."
CIS4212,CIS ,4212,Privacy-Preserving and Trustworthy Cyber-Infrastructures,3,This course will explore emerging cyber-security technologies addressing security issues of cyber-infrastructures. It will cover privacy-enhancing and trustworthy techniques for cloud computing and internet of thing systems.
CIS4219,CIS ,4219,Human Aspects of Cybersecurity,3,"This course will study the human aspects of cybersecurity and cover such topics as: identity management, social engineering, societal behaviors, privacy and security, and individual awareness and understanding of cybersecurity."
CIS4250,CIS ,4250,Ethical Issues and Professional Conduct,3,This course introduces students to ethical issues and professional responsibilities arising in the computer sciences. Students will develop ethical solutions to real-world problems and present them.
CIS4345,CIS ,4345,Big Data Storage and Analysis with Hadoop,3,"This is an introductory course for big data storage and analysis in Hadoop cluster. Topics include Hadoop file system, Hadoop cluster architectures, Hadoop ecosystems, and big data processing frameworks MapReduce, Spark, Pig and Hive."
CIS4622,CIS ,4622,Hands-on Cybersecurity,3,"This course covers hands-on skills for cybersecurity – how to perform common offense and defense activities on computer networks, penetration testing, software exploit basics, basic network forensics, and basics on incident response."
CIS4900,CIS ,4900,Independent Study in Computer Science,1-5,Specialized independent study determined by the needs and interests of the student.
CIS4910,CIS ,4910,Computer Science and Engineering Project,3,Offers a focused team-based design experience incorporating appropriate engineering standards and multiple realistic constraints. Projects are proposed by industry and/or other partners and are completed within a defined development process.
CIS4915,CIS ,4915,Supervised Research in Computer Science ,0-5,Supervised research determined by the needs and interests of the student.
CIS4930,CIS ,4930,Special Topics in Computer Science I,1-3,Special topics in computer science and computer engineering.
CIS4935,CIS ,4935,Senior Project in Information Technology,4,"This course is the capstone project for IT majors. Students are required to design, implement, and deliver a complete IT solution to a problem leveraging discipline-specific, critical thinking, and communication skills acquired in this major."
CIS4940,CIS ,4940,Industry Internship ,0-6,Individual study as practical computer science and/or computer engineering work under industrial supervision with a faculty approved outline and end-of-semester report.
CIS4947,CIS ,4947,Industry Internship ,1-5,Practical information technology work under industrial supervision with a faculty-approved outline and end-of-semester report.
CIS6082,CIS ,6082,Cloud Computing,3,"This is a hand-on class in the methods and technologies of cloud computing. Upon completion of this course students will be able to create, configure, build, deploy, and manage a variety of cloud based solutions."
CIS6214,CIS ,6214,Privacy-Preserving and Trustworthy Cyber-Infrastructures,3,This course will explore emerging cyber-security technologies addressing security issues of cyber-infrastructures. It will cover privacy-enhancing and trustworthy techniques for cloud computing and internet of thing systems.
CIS6218,CIS ,6218,Human Aspects of Cybersecurity,3,"This course will study the human aspects of cybersecurity and cover such topics as: identity management, social engineering, societal behaviors, privacy and security, and individual awareness and understanding of cybersecurity."
CIS6220,CIS ,6220,Penetration Testing for IT,3,"Penetration testing and related software tools are presented. Legalities and various cyber-attacks such as distributed denial of service, man-in-the-middle, and password attacks are covered. Methods to correct security flaws are given"
CIS6348,CIS ,6348,Big Data Storage and Analysis with Hadoop,3,"This is an introductory course for big data storage and analysis in Hadoop cluster. Topics include Hadoop file system, Hadoop cluster architectures, Hadoop ecosystems, and big data processing frameworks MapReduce, Spark, Pig and Hive."
CIS6373,CIS ,6373,Foundations of Software Security,3,"Introduction to research in foundations of software security. Basic static and dynamic enforcement of security policies. Roles and meanings of policies, properties, mechanisms, and enforcement. Language-based security and tools for specifying security."
CIS6375,CIS ,6375,Information Security and Privacy in Distributed Systems,3,"This course covers topics in information security and privacy in distributed computing systems like encryption, authentication, anonymity, traceback, denial of service, forensics etc. in wired and wireless systems and networks."
CIS6900,CIS ,6900,Independent Study in Computer Science,1-19,Independent study in which students must have a contract with an instructor. Requires completed contract prior to enrollment.
CIS6930,CIS ,6930,Special Topics,1-5,
