ProgramID,CourseID,ProgramRequirementType
BSIT,CAP4136,Elective
BSIT,CIS4947,Elective
BSIT,CNT4716C,Elective
BSIT,COP3353,Elective
BSIT,COP4368,Elective
BSCYS,CGS1540,Core
BSCYS,CIS1930,Core
BSCYS,CIS3213,Core
BSCYS,CIS4200,Core
BSCYS,CIS4219,Core
BSCYS,CIS4622,Core
BSCYS,CNT4104,Core
BSCYS,CNT4104L,Core
BSCYS,CNT4403,Core
BSCYS,COP2510,Core
BSCYS,COP2513,Core
BSCYS,COP3515,Core
BSCYS,COP4538,Core
BSCYS,COP4703,Core
BSCYS,CAP4136,Elective
BSCYS,CIS4083,Elective
BSCYS,CIS4947,Elective
BSCYS,CNT4716C,Elective
BSCYS,COP4368,Elective
BSAI,CAI4002,Core
BSAI,CAI4105,Core
BSAI,CDA3103,Core
BSAI,CEN4020,Core
BSAI,CIS1930,Core
BSAI,CIS4250,Core
BSAI,CIS4910,Core
BSAI,CNT4419,Core
BSAI,COP2510,Core
BSAI,COP3514,Core
BSAI,COP4530,Core
BSAI,COP4600,Core
BSAI,COT4400,Core
BSAI,CAI4841,Elective
BSAI,CAI4842,Elective
BSAI,CIS4930,Elective
BSAI,CIS4212,Elective
BSAI,COT4210,Elective
BSAI,COT4521,Elective
BSAI,COT4601,Elective
BSAI,CAP4034,Elective
BSAI,CAP4103,Elective
BSAI,CAP4111,Elective
BSAI,CAP4160,Elective
BSAI,CAP4628,Elective
BSAI,CAP4637,Elective
BSAI,CAP4641,Elective
BSAI,CAP4662,Elective
BSAI,CAP4744,Elective
BSAI,CAP4773,Elective
BSAI,CDA4203,Elective
BSAI,CDA4203L,Elective
BSAI,CDA4213,Elective
BSAI,CDA4213L,Elective
BSAI,CDA4253,Elective
BSAI,CDA4321,Elective
BSAI,CDA4322,Elective
BSAI,CDA4323,Elective
BSAI,CDA4621,Elective
BSAI,CEN4072,Elective
BSAI,CIS4345,Elective
BSAI,CIS4900,Elective
BSAI,CIS4915,Elective
BSAI,CIS4940,Elective
BSAI,CNT4004,Elective
BSAI,CNT4411,Elective
BSAI,COP4020,Elective
BSAI,COP4365,Elective
BSAI,COP4520,Elective
BSAI,COP4620,Elective
BSAI,COP4710,Elective
MSCS,EEL6764,Core
MSCS,COT6405,Core
MSCS,COP6611,Core
MSCS,CAI5005,Elective
MSCS,CAI5107,Elective
MSCS,CAI5133,Elective
MSCS,CAI5135,Elective
MSCS,CAI5205,Elective
MSCS,CAI5307,Elective
MSCS,CAI5615,Elective
MSCS,CAI5815,Elective
MSCS,CAI5845,Elective
